"codigoine","concello","X1900","X1910","X1920","X1930","X1940","X1950","X1960","X1970","X1981","X1991","X2001","X2011","sup1996"
27002,"Alfoz",3713,3726,3617,3639,4017,4011,3708,3205,2858,2645,2382,2022,77.5
27003,"Antas de Ulla",5409,5238,5572,5290,5531,5401,4476,4572,4146,3122,2695,2223,103.6
27004,"Baleira",4768,5164,4857,4667,5401,4703,4242,3304,2610,2024,1834,1463,168.8
27005,"Barreiros",4394,4635,4901,4804,5099,5197,4918,4165,4083,3763,3346,3134,72.4
27006,"Becerreá",9153,8689,8100,7864,7776,7015,7753,5762,5034,3992,3472,3082,172.1
27007,"Begonte",6541,6730,7270,6335,6952,6963,6679,5151,4630,4493,3674,3317,126.8
27008,"Bóveda",4398,4199,4583,4629,4752,4143,3733,3144,3244,2320,1949,1592,91.1
27009,"Carballedo",9804,9068,8234,9116,10485,10295,9778,5450,4518,4145,3080,2537,138.8
27010,"Castro de Rei",7211,7359,6978,7123,7559,7513,7667,6920,6447,5748,5850,5428,177
27011,"Castroverde",6189,6934,7276,7173,9017,8122,8054,5256,4548,3797,3378,2882,174.2
27012,"Cervantes",7181,7557,8412,7245,7011,7952,5570,4294,3069,2372,2135,1598,277.6
27013,"Cervo",4838,4901,4711,4532,4668,5069,5510,6293,9602,13129,4936,4498,78.3
27014,"Corgo, O",6813,7288,8031,7775,8065,8544,7399,5454,5001,4768,4280,3822,157.3
27015,"Cospeito",7113,7005,6817,7407,7615,7921,8090,7472,6931,6166,5658,5072,144.8
27016,"Chantada",15003,15010,13541,14694,15127,14467,14116,10666,9854,9754,9401,8739,176.7
27017,"Folgoso do Courel",6413,6468,6156,5785,5891,5479,4634,3609,2191,1864,1498,1170,192.8
27018,"Fonsagrada, A",17302,17321,17750,15807,14832,13925,12423,9744,9246,6507,5082,4192,438.4
27019,"Foz",6514,6822,7248,7824,8107,8216,8369,8274,8776,9446,9488,9962,100.3
27020,"Friol",8865,8879,9815,10176,10667,10037,9110,7196,5724,5138,4685,4131,292.3
27021,"Xermade",4059,4101,4216,4782,5214,5267,5139,4209,3502,3044,2553,2105,166.6
27022,"Guitiriz",10028,10199,10628,10275,11909,11476,10406,8961,7496,6786,6259,5676,293.7
27023,"Guntín",6319,6729,7271,7557,7207,6188,6243,4914,4351,3824,3423,3026,154.8
27024,"Incio, O",8137,7344,7440,7010,7433,6253,5712,4512,4003,2902,2427,1882,146.2
27025,"Xove",3816,3956,3763,3711,3956,4062,3799,3755,3618,3483,3547,3502,89.1
27026,"Láncara",5169,5269,6222,6113,6542,5513,5308,4284,4209,3530,3186,2869,121.7
27027,"Lourenzá",5105,5003,4517,4443,4384,4348,4060,3487,3266,3100,2776,2401,62.6
27028,"Lugo",26959,35726,28346,31137,42805,53743,58264,63830,73986,87605,88414,98001,329.8
27029,"Meira",4475,4335,4165,4087,2164,2228,2076,1975,1970,1833,1798,1784,46.5
27030,"Mondoñedo",10590,9725,9462,8673,9153,8533,8010,6989,6988,5774,5007,4194,142.7
27031,"Monforte de Lemos",12912,13838,14076,15453,21264,21682,20741,19528,19382,20510,19091,19486,199.5
27032,"Monterroso",5524,5432,5483,5808,6444,5795,5242,4938,4692,4746,4235,3951,114.6
27033,"Muras",3272,3130,3167,3085,3378,3129,2780,2413,2154,1425,1044,756,163.8
27034,"Navia de Suarna",6670,7034,6913,6633,7174,6546,5711,4995,3745,2136,1872,1341,242.6
27035,"Negueira de Muñiz",NA,NA,NA,1534,1570,1424,1097,590,434,286,259,212,72.3
27037,"Nogais, As",5057,5072,4699,4463,4412,4149,3239,2518,2283,1867,1552,1300,110.3
27038,"Ourol",5720,5640,5311,5328,5522,5044,4410,3687,2508,1936,1445,1146,142.1
27039,"Outeiro de Rei",5903,5851,5829,6255,6037,5795,6031,5093,5108,4135,4447,5025,134.2
27040,"Palas de Rei",9800,10609,11230,11094,12189,10044,8674,6496,6323,4812,4213,3654,199.7
27041,"Pantón",12988,12407,12279,10217,10797,10010,8439,6954,5823,4005,3341,2868,143.2
27042,"Paradela",4875,5154,5251,5062,5122,4808,5174,3511,3311,3141,2545,2038,121.1
27043,"Páramo, O",3743,3767,3710,3689,3901,3724,3074,2546,2422,2074,1907,1553,74.8
27044,"Pastoriza, A",7734,7341,7206,7251,7249,6848,6238,5338,4952,4294,3959,3403,175
27045,"Pedrafita do Cebreiro",4217,4602,4188,4171,4185,3858,3423,2861,2500,2103,1552,1201,104.9
27046,"Pol",5274,5118,4931,4777,4812,4261,4097,3457,2851,2431,2058,1794,125.9
27047,"Pobra do Brollón, A",7992,7672,7372,6864,7132,8116,5444,3995,3338,3244,2557,1979,176.7
27048,"Pontenova, A",NA,NA,NA,NA,NA,NA,NA,4841,4298,3647,3238,2677,135.8
27049,"Portomarín",4697,5022,4132,3841,4139,4079,3604,2961,2499,2159,2008,1691,115.1
27050,"Quiroga",8889,8619,8530,7743,8380,7824,7115,4881,5037,4657,4169,3582,317.4
27051,"Ribadeo",8847,9193,9016,9168,9567,9364,9138,8974,9068,8761,9035,9972,108.9
27052,"Ribas de Sil",3767,3857,3769,3795,3838,3923,2992,2089,1611,1568,1371,1061,67.8
27053,"Ribeira de Piquín",NA,NA,NA,NA,2128,2108,1958,1859,1296,1054,837,635,73
27054,"Riotorto",4695,4450,4258,3875,3931,4026,3769,3167,2696,2211,1799,1450,66.3
27055,"Samos",7507,7182,6101,6167,7187,6203,4436,3970,3145,2324,2057,1566,136.6
27056,"Rábade",NA,NA,NA,989,1347,1566,1758,1814,1858,1692,1583,1676,5.2
27057,"Sarria",11998,14933,14243,13891,15167,16142,14759,12052,12000,12437,12887,13436,184.6
27058,"Saviñao, O",11182,11138,11207,10771,12595,12144,12083,8534,7261,5773,5010,4321,196.6
27059,"Sober",9120,9352,9095,9413,10022,9127,8064,6818,4786,3681,3014,2455,133.3
27060,"Taboada",8139,7821,7904,7418,8162,7919,7123,6324,6072,4854,3845,3225,146.7
27061,"Trabada",3682,3488,3446,3224,3216,3186,3069,2548,2277,1910,1591,1268,82.7
27062,"Triacastela",2584,2342,2256,1985,2609,1975,1632,1367,1129,962,873,754,51.2
27063,"Valadouro, O",3856,4057,4018,4054,4280,4351,4234,3461,3184,2721,2377,2127,110.5
27064,"Vicedo, O",4563,4391,4077,3962,4396,4100,3644,3167,2850,2651,2194,1893,76
27065,"Vilalba",13572,14101,15194,16308,17935,20204,20264,17301,16485,15643,15365,15042,379
27066,"Viveiro",12843,13378,12490,12429,13930,13483,13274,12942,14562,14877,15240,16076,109.3
27901,"Baralla",NA,NA,NA,NA,NA,NA,NA,NA,4463,3768,3305,2833,141.2
27902,"Burela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8161,9555,7.3
32001,"Allariz",9083,8985,9043,8707,9403,9366,9241,7950,5009,5218,5125,6003,86
32002,"Amoeiro",4490,4602,4035,4580,4720,4169,4151,2942,2538,2318,2298,2292,39.7
32003,"Arnoia, A",2963,2894,2577,2286,2106,2129,1971,1528,1274,1027,1187,1051,20.7
32004,"Avión",4923,5090,5183,5186,5583,5450,4617,3178,3991,3419,2775,2371,120.5
32005,"Baltar",3134,3209,3121,3145,3691,3250,3251,3622,3956,1861,1233,1038,94
32006,"Bande",5721,6096,6084,5684,6275,6099,4923,4241,3044,2617,2422,1956,99
32007,"Baños de Molgas",4786,4742,5180,5659,6065,5677,5102,4551,3456,3208,2147,1778,67.6
32008,"Barbadás",3835,3712,3606,4063,4397,4325,3717,3650,3682,4056,6768,10025,30.2
32009,"Barco de Valdeorras, O",5321,5155,5404,5930,7041,8081,7695,7769,9179,10379,12959,14037,85.7
32010,"Beade",1738,1797,1690,1225,1212,1250,1313,1044,1204,868,600,498,6.4
32011,"Beariz",2226,2546,2600,2744,2933,2653,2130,1699,1346,1839,1490,1202,56
32012,"Blancos, Os",2550,2729,2683,2823,2881,3337,2546,2394,2236,1271,1190,998,47.6
32013,"Boborás",7399,7482,7239,7066,7134,6919,7367,4842,4456,3825,3313,2832,87.8
32014,"Bola, A",4043,3969,4000,3988,4181,3906,3150,2622,2147,1723,1527,1397,34.9
32015,"Bolo, O",5204,5355,5505,5550,5640,5285,4667,3634,2477,1893,1327,1080,91.2
32016,"Calvos de Randín",3650,3636,3668,3676,3635,3429,3021,2417,1833,2028,1240,1065,97.7
32017,"Carballeda de Valdeorras",4018,4100,4085,3806,4294,4024,4005,3425,3266,2615,2129,1744,222.7
32018,"Carballeda de Avia",3463,3618,3519,3449,3634,3312,2975,2517,2820,1879,1589,1485,47
32019,"Carballiño, O",8447,8917,9541,9274,9639,9841,9752,9962,10942,11017,12521,14103,54.4
32020,"Cartelle",7136,7236,7200,7485,8222,8756,7154,7335,5198,4037,3732,3176,94.3
32021,"Castrelo do Val",2975,3133,2823,2913,3325,3227,3190,2897,2066,1461,1284,1160,122
32022,"Castrelo de Miño",4378,4447,4605,4845,5179,4951,4832,5383,5027,3593,2034,1755,39.7
32023,"Castro Caldelas",5441,5311,5670,4934,4784,4330,4248,4085,3316,1946,1834,1471,87.6
32024,"Celanova",4895,4662,4839,7314,9834,7845,8127,8054,7518,5902,5993,5781,67.3
32025,"Cenlle",4047,4292,4646,5115,5224,5334,4092,2340,2274,1834,1586,1327,29
32026,"Coles",5273,5141,4975,4954,4978,4810,4523,3491,3351,3233,3171,3157,38.1
32027,"Cortegada",3524,3498,3288,3498,3496,3321,2722,2882,1989,1566,1414,1280,26.9
32028,"Cualedro",3097,3459,3951,4327,4533,5001,5773,5722,5628,2563,2391,1930,117.6
32029,"Chandrexa de Queixa",2949,3162,3167,2935,2958,2578,2365,1661,1070,1023,844,590,171.8
32030,"Entrimo",3389,3361,3398,3602,3778,3257,2883,2341,2381,1553,1442,1361,84.5
32031,"Esgos",3100,3148,3230,3089,3407,3580,3762,2942,2248,1394,1294,1194,37.8
32032,"Xinzo de Limia",5622,6173,6599,8495,9130,10200,9680,10640,10177,9070,9519,10311,132.7
32033,"Gomesende",3569,3449,3353,3187,3202,3255,2904,2071,2294,1409,1115,915,28.3
32034,"Gudiña, A",2697,2649,2534,2465,2379,2275,2297,2108,2051,2017,1682,1466,171.4
32035,"Irixo, O",6787,6546,6826,6685,6649,6357,5833,4105,4073,2534,2154,1670,121
32036,"Xunqueira de Ambía",4208,4090,4001,4369,4608,4981,4584,3705,2957,2351,2004,1657,60.2
32037,"Xunqueira de Espadanedo",1900,1916,1959,1891,1741,1829,1656,1376,1285,1153,1065,891,27.6
32038,"Larouco",1618,1562,1845,1813,1742,1576,1420,1126,986,673,588,532,23.7
32039,"Laza",4405,4516,4346,4262,4665,4573,4228,3384,2497,2303,1904,1538,215.9
32040,"Leiro",4973,4933,5111,4470,4380,4197,3406,2800,2483,2235,1949,1760,38.3
32041,"Lobeira",3040,3087,2914,3100,3402,3265,2768,3041,2698,1405,1193,917,68.9
32042,"Lobios",4201,4355,4448,4640,5079,5221,5064,5009,4631,3190,2623,2097,168.4
32043,"Maceda",4948,4988,5085,5919,6285,5991,5438,4616,5446,3477,3241,3108,101.9
32044,"Manzaneda",3283,3427,3370,3437,3158,2973,3117,2350,1828,1439,1198,1003,114.6
32045,"Maside",6339,6052,5797,5877,6571,5808,4993,4448,4551,3577,3253,2984,40
32046,"Melón",3324,3465,3333,3408,3461,3315,2915,2485,2124,1835,1504,1484,53.4
32047,"Merca, A",4975,4993,5032,5463,6173,6016,4907,4690,5011,2733,2419,2203,51
32048,"Mezquita, A",3033,2888,2914,2635,2682,2651,2549,2201,1845,1805,1429,1214,104.3
32049,"Montederramo",4076,4147,4154,3795,3626,3443,3048,2348,1755,1401,1206,900,135.6
32050,"Monterrei",4233,4947,4860,5156,6203,6108,5752,5028,4877,3603,3314,2917,119.1
32051,"Muíños",4579,4804,4388,4436,4452,4341,4566,3190,4152,2236,2015,1736,109.7
32052,"Nogueira de Ramuín",7881,8142,8201,8275,7791,8201,7518,7238,3133,2728,2531,2337,98.3
32053,"Oímbra",2682,2792,2849,3000,3462,3498,3491,2634,2109,2088,1996,1969,71.9
32054,"Ourense",15194,15998,17581,21579,28397,55574,64153,73379,96085,108382,107510,107314,84.5
